permit_number,issue_date,full_address,source_file,latitude,longitude,geocoded_address,geocode_status
BLDR-2024-028025,8/2/2024,"25630 TAYLOR CRESCENT DR, CHANTILLY, VA 20152",permits_2024_08.pdf,38.9085943,-77.496506,"25630 Taylor Cres Dr, Chantilly, VA 20152, USA",SUCCESS
BLDR-2024-028406,8/2/2024,"41082 FRESHFIELDS CT, ALDIE, VA 20105",permits_2024_08.pdf,38.940867,-77.58260059999999,"41082 Freshfields Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-028689,8/2/2024,"42944 VAL AOSTA DR, ASHBURN, VA 20148",permits_2024_08.pdf,38.9982469,-77.5155327,"42944 Val Aosta Dr, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-029842,8/2/2024,"22058 WATER RUN CT, ASHBURN, VA 20148",permits_2024_08.pdf,39.0059021,-77.5053071,"22058 Water Run Ct, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-030550,8/2/2024,"42477 LENNOX CT, CHANTILLY, VA 20152",permits_2024_08.pdf,38.9081394,-77.5337265,"42477 Lennox Ct, South Riding, VA 20152, USA",SUCCESS
BLDR-2024-031007,8/2/2024,"41232 TYNEDALE CT, ASHBURN, VA 20148",permits_2024_08.pdf,38.9766843,-77.5761823,"41232 Tynedale Ct, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-031232,8/2/2024,"23680 EVERETT VALLEY DR, ALDIE, VA 20105",permits_2024_08.pdf,38.96195,-77.5827384,"23680 Everett Vly Dr, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-033858,8/2/2024,"41575 HEPATICA CT, ASHBURN, VA 20148",permits_2024_08.pdf,38.9628383,-77.56411609999999,"41575 Hepatica Ct, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-035357,8/2/2024,"22910 BENSON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9821776,-77.4097051,"22910 Benson Terrace, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-035601,8/2/2024,"20113 OLD LINE TER, ASHBURN, VA 20147",permits_2024_08.pdf,39.0600768,-77.5122591,"20113 Old Line Terrace, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-036613,8/2/2024,"19700 STANFORD HALL PL, ASHBURN, VA 20147",permits_2024_08.pdf,39.0707831,-77.4981955,"19700 Stanford Hall Pl, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-036638,8/2/2024,"21303 SWEET CLOVER PL, ASHBURN, VA 20147",permits_2024_08.pdf,39.0279307,-77.4942432,"21303 Sweet Clover Pl, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-038357,8/2/2024,"13622 SYLVAN BLUFF DR, LEESBURG, VA 20176",permits_2024_08.pdf,39.2369806,-77.50379509999999,"13622 Sylvan Bluff Dr, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-038829,8/2/2024,"15694 HILLSBORO RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.1826062,-77.7201224,"15694 Hillsboro Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-038835,8/2/2024,"15694 HILLSBORO RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.1826062,-77.7201224,"15694 Hillsboro Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-038957,8/2/2024,"43687 FROST CT, ASHBURN, VA 20147",permits_2024_08.pdf,39.0182525,-77.4898034,"43687 Frost Ct, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-040362,8/2/2024,"43445 POSTRAIL SQ, ASHBURN, VA 20147",permits_2024_08.pdf,39.0380601,-77.49909029999999,"43445 Postrail Square, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-040752,8/2/2024,"267 CHELMSFORD CT, STERLING, VA 20165",permits_2024_08.pdf,39.0481914,-77.3988038,"267 Chelmsford Ct, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-040989,8/2/2024,"43206 SUMMERSWEET PL, ASHBURN, VA 20148",permits_2024_08.pdf,39.002235,-77.506579,"43206 Summersweet Pl, Ashburn, VA 20148, USA",SUCCESS
BLDC-2024-014636,8/4/2024,"24950 RIDING CENTER DR, CHANTILLY, VA 20152",permits_2024_08.pdf,38.9216149,-77.5262473,"24950 Riding Center Dr, Chantilly, VA 20152, USA",SUCCESS
BLDR-2024-032909,8/4/2024,"43942 ROCHELLE CT, ASHBURN, VA 20147",permits_2024_08.pdf,39.0501364,-77.4808381,"43942 Rochelle Ct, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-030824,8/5/2024,"25067 KINGSCOTE CT, CHANTILLY, VA 20152",permits_2024_08.pdf,38.9239364,-77.5394701,"25067 Kingscote Ct, Chantilly, VA 20152, USA",SUCCESS
BLDR-2024-031588,8/5/2024,"43436 ORSON ST, CHANTILLY, VA 20152",permits_2024_08.pdf,38.8927793,-77.50039360000001,"43436 Orson St, Chantilly, VA 20152, USA",OUT_OF_BOUNDS
BLDR-2024-032283,8/5/2024,"24899 QUIMBY OAKS PL, ALDIE, VA 20105",permits_2024_08.pdf,38.9290866,-77.57996,"24899 Quimby Oaks Pl, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-033186,8/5/2024,"42606 HARRIS ST, CHANTILLY, VA 20152",permits_2024_08.pdf,38.913972,-77.52926939999999,"42606 Harris St, Chantilly, VA 20152, USA",SUCCESS
BLDR-2024-033722,8/5/2024,"17073 NEEDLES CT, LEESBURG, VA 20176",permits_2024_08.pdf,39.1440583,-77.5925522,"17073 Needles Ct, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-033936,8/5/2024,"17380 TRANQUILITY RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.1361603,-77.7357342,"17380 Tranquility Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-034722,8/5/2024,"42155 GRISBY CT, CHANTILLY, VA 20152",permits_2024_08.pdf,38.88475589999999,-77.5454244,"42155 Grisby Ct, Chantilly, VA 20152, USA",OUT_OF_BOUNDS
BLDR-2024-034862,8/5/2024,"44294 SILKWORTH TER, ASHBURN, VA 20147",permits_2024_08.pdf,39.0357289,-77.46780629999999,"44294 Silkworth Terrace, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-035191,8/5/2024,"40777 NORTHERN WILLOW CT, ALDIE, VA 20105",permits_2024_08.pdf,38.940588,-77.5932179,"40777 Northern Willow Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-035398,8/5/2024,"17865 RIDGEWOOD PL, ROUND HILL, VA 20141",permits_2024_08.pdf,39.1255949,-77.764217,"17865 Ridgewood Pl, Round Hill, VA 20141, USA",SUCCESS
BLDR-2024-035910,8/5/2024,"19155 SKYFIELD RIDGE PL, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.087796,-77.773753,"19155 Skyfield Ridge Pl, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-036520,8/5/2024,"22868 BUBBLING BROOK DR, ASHBURN, VA 20148",permits_2024_08.pdf,38.984273,-77.5489752,"22868 Bubbling Brook Dr, Brambleton, VA 20148, USA",SUCCESS
BLDR-2024-036818,8/5/2024,"20469 BROAD RUN DR, STERLING, VA 20165",permits_2024_08.pdf,39.0493119,-77.4309853,"20469 Broad Run Dr, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-037231,8/5/2024,"21954 COLONIAL HILLS DR, ASHBURN, VA 20148",permits_2024_08.pdf,39.0077502,-77.55543290000001,"21954 Colonial Hills Dr, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-037694,8/5/2024,"20403 TILBERG ST, ASHBURN, VA 20147",permits_2024_08.pdf,39.0515827,-77.5116865,"20403 Tilberg St, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-038582,8/5/2024,"114 BICKEL CT, STERLING, VA 20165",permits_2024_08.pdf,39.04911269999999,-77.42221289999999,"114 Bickel Ct, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-038698,8/5/2024,"43542 RIVERPOINT DR, LEESBURG, VA 20176",permits_2024_08.pdf,39.0871966,-77.48795059999999,"43542 Riverpoint Dr, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-039072,8/5/2024,"42465 NICKENS PL, ASHBURN, VA 20148",permits_2024_08.pdf,38.9732742,-77.5331453,"42465 Nickens Pl, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-039079,8/5/2024,"41929 POSSUMHAW TER, ALDIE, VA 20105",permits_2024_08.pdf,38.9223911,-77.55338239999999,"41929 Possumhaw Terrace, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-039834,8/5/2024,"21373 GLEBE VIEW DR, ASHBURN, VA 20148",permits_2024_08.pdf,39.0269601,-77.5247085,"21373 Glebe View Dr, Broadlands, VA 20148, USA",SUCCESS
BLDR-2024-039977,8/5/2024,"42775 WILMAR SQ, ASHBURN, VA 20148",permits_2024_08.pdf,39.0001462,-77.52206679999999,"42775 Wilmar Square, Brambleton, VA 20148, USA",SUCCESS
BLDR-2024-040211,8/5/2024,"43655 KENAI CT, CHANTILLY, VA 20152",permits_2024_08.pdf,38.8920914,-77.49278129999999,"43655 Kenai Ct, Chantilly, VA 20152, USA",OUT_OF_BOUNDS
BLDR-2024-040489,8/5/2024,"39042 OLD STAGE PL, WATERFORD, VA 20197",permits_2024_08.pdf,39.1754225,-77.6546534,"39042 Old Stage Pl, Waterford, VA 20197, USA",SUCCESS
BLDR-2024-040598,8/5/2024,"23390 TRADEWIND DR, ASHBURN, VA 20148",permits_2024_08.pdf,38.96838229999999,-77.54470979999999,"23390 Tradewind Dr, Ashburn, VA 20148, USA",SUCCESS
BLDC-2023-016108,8/6/2024,"42050 COCHRAN MILL RD, LEESBURG, VA 20175",permits_2024_08.pdf,39.0761329,-77.5271774,"42050 Cochran Mill Rd, Leesburg, VA 20175, USA",SUCCESS
BLDC-2024-034535,8/6/2024,"44062 FINCASTLE DR, ASHBURN, VA 20147",permits_2024_08.pdf,39.0514479,-77.4778659,"Main Building, 44062 Fincastle Dr, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-003785,8/6/2024,"24971 DAHLIA MANOR PL, ALDIE, VA 20105",permits_2024_08.pdf,38.9270755,-77.59975870000001,"24971 Dahlia Manor Pl, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-021213,8/6/2024,"24975 BELCOURT CASTLE DR, CHANTILLY, VA 20152",permits_2024_08.pdf,38.925403,-77.5390663,"24975 Belcourt Castle Dr, Chantilly, VA 20152, USA",SUCCESS
BLDR-2024-024779,8/6/2024,"20393 VOLLEY TER, ASHBURN, VA 20147",permits_2024_08.pdf,39.0520552,-77.48108429999999,"20393 Volley Terrace, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-025877,8/6/2024,"23786 KILKERRAN DR, ALDIE, VA 20105",permits_2024_08.pdf,38.9595183,-77.59339489999999,"23786 Kilkerran Dr, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-026944,8/6/2024,"12414 MOUNTAIN RD, LOVETTSVILLE, VA 20180",permits_2024_08.pdf,39.2716736,-77.6889432,"12414 Mountain Rd, Lovettsville, VA 20180, USA",SUCCESS
BLDR-2024-028188,8/6/2024,"43403 TURNBERRY ISLE CT, LEESBURG, VA 20176",permits_2024_08.pdf,39.1021773,-77.4986854,"43403 Turnberry Isle Ct, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-029448,8/6/2024,"16123 TURNING LEAF LN, LEESBURG, VA 20176",permits_2024_08.pdf,39.1702054,-77.56256060000001,"16123 Turning Leaf Ln, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-030368,8/6/2024,"40486 WINDYHILL FARMS DR, ALDIE, VA 20105",permits_2024_08.pdf,38.960714,-77.60657900000001,"40486 Windyhill Farms Dr, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-030675,8/6/2024,"43437 ORSON ST, CHANTILLY, VA 20152",permits_2024_08.pdf,38.8923519,-77.500372,"43437 Orson St, South Riding, VA 20152, USA",OUT_OF_BOUNDS
BLDR-2024-031551,8/6/2024,"43749 RALEIGH PL, ASHBURN, VA 20147",permits_2024_08.pdf,39.0498298,-77.48594159999999,"43749 Raleigh Pl, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-032152,8/6/2024,"18841 BLACK OAK RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.0986157,-77.7576102,"18841 Black Oak Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-032871,8/6/2024,"24815 YELLOW POPLAR PL, ALDIE, VA 20105",permits_2024_08.pdf,38.931928,-77.576915,"24815 Yellow Poplar Pl, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-033430,8/6/2024,"38643 PIGGOTT BOTTOM RD, HAMILTON, VA 20158",permits_2024_08.pdf,39.1549509,-77.665278,"38643 Piggott Bottom Rd, Hamilton, VA 20158, USA",SUCCESS
BLDR-2024-033922,8/6/2024,"12892 PICNIC WOODS RD, LOVETTSVILLE, VA 20180",permits_2024_08.pdf,39.2604054,-77.6746428,"12892 Picnic Woods Rd, Lovettsville, VA 20180, USA",SUCCESS
BLDR-2024-034913,8/6/2024,"41346 RASPBERRY DR, LEESBURG, VA 20176",permits_2024_08.pdf,39.1669664,-77.556127,"41346 Raspberry Dr, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-034988,8/6/2024,"21120 MIDDAY LN, STERLING, VA 20164",permits_2024_08.pdf,39.0109796,-77.4140075,"21120 Midday Ln, Sterling, VA 20164, USA",SUCCESS
BLDR-2024-035757,8/6/2024,"25940 CAMERON WALK PL, ALDIE, VA 20105",permits_2024_08.pdf,38.8959571,-77.5824548,"25940 Cameron Walk Pl, Aldie, VA 20105, USA",OUT_OF_BOUNDS
BLDR-2024-035763,8/6/2024,"106 WILSON AVE NW, LEESBURG, VA 20176",permits_2024_08.pdf,39.121344,-77.5763624,"106 Wilson Ave NW, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-036302,8/6/2024,"818 ELLERSLIE CT SE, LEESBURG, VA 20175",permits_2024_08.pdf,39.082749,-77.5380945,"818 Ellerslie Ct SE, Leesburg, VA 20175, USA",SUCCESS
BLDR-2024-037123,8/6/2024,"42572 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9490405,-77.53092649999999,"42572 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037128,8/6/2024,"42570 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9490579,-77.530958,"42570 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037131,8/6/2024,"42566 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9491065,-77.5310467,"42566 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037133,8/6/2024,"42562 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.949138,-77.531104,"42562 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037135,8/6/2024,"42558 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9491746,-77.53117170000002,"42558 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037136,8/6/2024,"42554 INVERGORDON TER, STERLING, VA 20166",permits_2024_08.pdf,38.9492185,-77.53125399999999,"42554 Invergordon Ter, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-037166,8/6/2024,"20235 HIDDEN CREEK CT, ASHBURN, VA 20147",permits_2024_08.pdf,39.0562645,-77.49042949999999,"20235 Hidden Creek Ct, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-037489,8/6/2024,"35471 TROON CT, ROUND HILL, VA 20141",permits_2024_08.pdf,39.1224685,-77.77727999999999,"35471 Troon Ct, Round Hill, VA 20141, USA",SUCCESS
BLDR-2024-039331,8/6/2024,"43624 HABITAT CIR, LEESBURG, VA 20176",permits_2024_08.pdf,39.0980217,-77.49064179999999,"43624 Habitat Cir, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-039840,8/6/2024,"13374 HARPERS FERRY RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.245463,-77.7230293,"13374 Harpers Ferry Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-040784,8/6/2024,"47717 SANDBANK SQ, STERLING, VA 20165",permits_2024_08.pdf,39.040216,-77.3514054,"47717 Sandbank Square, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-041050,8/6/2024,"22320 FOUNDATION DR, ASHBURN, VA 20148",permits_2024_08.pdf,38.998795,-77.4984068,"22320 Foundation Dr, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-041495,8/6/2024,"47724 BOWLINE TER, STERLING, VA 20165",permits_2024_08.pdf,39.042947,-77.347447,"47724 Bowline Terrace, Sterling, VA 20165, USA",SUCCESS
BLDC-2024-032453,8/7/2024,"105 E MARKET ST Unit: E, LEESBURG, VA 20176",permits_2024_08.pdf,39.114496,-77.56277299999999,"105 E Market St E, Leesburg, VA 20176, USA",SUCCESS
BLDC-2024-034248,8/7/2024,"821 BATTLEFIELD PKWY NE, LEESBURG, VA 20176",permits_2024_08.pdf,39.1232806,-77.5349506,"821 Battlefield Pkwy NE, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-029849,8/7/2024,"24359 INDIAN BEAN CT, ALDIE, VA 20105",permits_2024_08.pdf,38.9437066,-77.5868855,"24359 Indian Bean Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-030373,8/7/2024,"43763 CARSON CT, ASHBURN, VA 20147",permits_2024_08.pdf,39.0199493,-77.4866534,"43763 Carson Ct, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-033014,8/7/2024,"39255 CROOKED BRIDGE LN, LEESBURG, VA 20175",permits_2024_08.pdf,39.0347441,-77.6464642,"39255 Crooked Bridge Ln, Leesburg, VA 20175, USA",SUCCESS
BLDR-2024-035543,8/7/2024,"41541 DOGWOOD PARK CIR, ALDIE, VA 20105",permits_2024_08.pdf,38.9690924,-77.5663436,"41541 Dogwood Park Circle, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-036546,8/7/2024,"21430 PLYMOUTH PL, ASHBURN, VA 20147",permits_2024_08.pdf,39.0245406,-77.49515869999999,"21430 Plymouth Pl, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-036691,8/7/2024,"23044 MINERVA DR, ASHBURN, VA 20148",permits_2024_08.pdf,38.9778568,-77.5238162,"23044 Minerva Dr, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-037159,8/7/2024,"22175 BREITLING TER, ASHBURN, VA 20148",permits_2024_08.pdf,39.0034914,-77.5277349,"22175 Breitling Terrace, Broadlands, VA 20148, USA",SUCCESS
BLDR-2024-037199,8/7/2024,"40949 FRANKLINIA PL, ALDIE, VA 20105",permits_2024_08.pdf,38.9445981,-77.5856065,"40949 Franklinia Pl, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-037402,8/7/2024,"249 MARKWOOD DR, STERLING, VA 20165",permits_2024_08.pdf,39.04209230000001,-77.408204,"249 Markwood Dr, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-038623,8/7/2024,"20371 BOWFONDS ST, ASHBURN, VA 20147",permits_2024_08.pdf,39.0518542,-77.5144437,"20371 Bowfonds St, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-038628,8/7/2024,"20541 TIDEWATER CT, STERLING, VA 20165",permits_2024_08.pdf,39.0471155,-77.3533999,"20541 Tidewater Ct, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-039282,8/7/2024,"44354 OLDETOWNE PL, ASHBURN, VA 20147",permits_2024_08.pdf,39.02100069999999,-77.466144,"44354 Oldetowne Pl, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-039302,8/7/2024,"43716 RED HOUSE DR, LEESBURG, VA 20176",permits_2024_08.pdf,39.08365879999999,-77.4881032,"43716 Red House Dr, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-039385,8/7/2024,"24805 NATURAL BRIDGE PL, ALDIE, VA 20105",permits_2024_08.pdf,38.9316176,-77.54576759999999,"24805 Natural Bridge Pl, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-040339,8/7/2024,"22821 HIGHCREST CIR, ASHBURN, VA 20148",permits_2024_08.pdf,38.9860585,-77.52534829999999,"22821 Highcrest Cir, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-040544,8/7/2024,"1003 N STERLING BLVD, STERLING, VA 20164",permits_2024_08.pdf,39.0142469,-77.39262450000001,"1003 N Sterling Blvd, Sterling, VA 20164, USA",SUCCESS
