road_name,street_name,route_code,route_name,adt,aawdt,peak_hour_estimate,traffic_level,data_date,data_quality,latitude,longitude
PARKING LOT,PARKING LOT,R-VA029SC00661NB,SC-661N (Fairfax County),9600,15000.0,960.0,Moderate,1641013200000,G,38.89537465119423,-77.44732442380732
PARKING LOT,PARKING LOT,R-VA029SC00911EB,SC-911E (Fairfax County),1000,,100.0,Low,1043125200000,R,38.894470569955054,-77.44724372804737
MEADOW RIDGE LN,MEADOW RIDGE,R-VA029SC00602NB,SC-602N (Fairfax County),5200,9700.0,520.0,Moderate,1641013200000,G,39.016347180806044,-77.3471215660932
FALLS CHASE CT,FALLS CHASE,R-VA   SR00193EB,VA-193E,21000,38000.0,2100.0,High,1641013200000,G,39.00107676334772,-77.33567488558596
MARKELL CT,MARKELL,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.984031039368084,-77.3225139890372
DREAMWEAVER CT,DREAMWEAVER,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.948749009092204,-77.25834644563942
TRE TOWERS CT,TRE TOWERS,R-VA029SC00620EB,SC-620E (Fairfax County),8800,9200.0,880.0,Moderate,1641013200000,G,38.87727177872176,-77.48149767803872
WESTONE PLZ,WESTONE,R-VA029SC08460SB,SC-8460S (Fairfax County),8300,8900.0,830.0,Moderate,1641013200000,G,38.869929605851596,-77.44602562763896
AUTUMN GLORY CT,AUTUMN GLORY,R-VA029SC08932NB,SC-8932N (Fairfax County),1200,,120.0,Low,1258606800000,R,38.8651690793085,-77.4234288687203
CROSS MEADOW PL,CROSS MEADOW,R-VA029SC08932NB,SC-8932N (Fairfax County),1200,,120.0,Low,1258606800000,R,38.863853366629435,-77.42367561229598
HEATHLAND DR,HEATHLAND,R-VA029SC00664EB,SC-664E (Fairfax County),5600,9300.0,560.0,Moderate,1641013200000,G,38.87048276777813,-77.32935243614709
JILLIANS FOREST WAY,JILLIANS FOREST,R-VA029SC00609NB,SC-609N (Fairfax County),8200,13000.0,820.0,Moderate,1641013200000,G,38.86374786946915,-77.49065517553564
WHARTON PARK CT,WHARTON PARK,R-VA029SC01166NB,SC-1166N (Fairfax County),1100,,110.0,Low,1236229200000,R,38.847557901355785,-77.42008274151566
LAVENDER MIST LN,LAVENDER MIST,R-VA   IS00066EB,I-66E,157000,166000.0,15700.0,Very High,1641013200000,G,38.8486116891307,-77.41579306208133
VILLAGE FOUNTAIN PL,VILLAGE FOUNTAIN,R-VA029SC00645EB,SC-645E (Fairfax County),16000,17000.0,1600.0,High,1641013200000,G,38.84873389545072,-77.40256467799179
TWILIGHT GLOW DR,TWILIGHT GLOW,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.844799290384984,-77.41222837160541
LELAND RD,LELAND,R-VA029SC07773EB,SC-7773E (Fairfax County),13000,2800.0,1300.0,Moderate,1641013200000,G,38.84517106921091,-77.40725285779955
RADIANT SUN WAY,RADIANT SUN,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.844602701462506,-77.4112544348528
SAMMIE KAY LN,SAMMIE KAY,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.844752887230584,-77.40889952839727
TERRYCLOTH LN,TERRYCLOTH,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.84479428752051,-77.40712016167592
BLUE ASTER CIR,BLUE ASTER,R-VA029SC08285NB,SC-8285N (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.84232998112541,-77.41162848536707
LELAND RD,LELAND,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.84473207852366,-77.41009496931228
LELAND RD,LELAND,R-VA029SC08285SB,SC-8285S (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.84427318645092,-77.41230811647605
MONUMENT CORNER DR,MONUMENT CORNER,R-VA   FR00253EB,FR-253E,6200,6600.0,620.0,Moderate,1641013200000,G,38.858585149980534,-77.3587870597115
MONUMENT CORNER DR,MONUMENT CORNER,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85659276621392,-77.35845850747958
MONUMENT WALL WAY,MONUMENT WALL,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85744092812212,-77.3551878499924
MONUMENT CORNER DR,MONUMENT CORNER,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85716976757679,-77.35839044407454
RANDOM WALL WAY,RANDOM WALL,R-VA   FR00253EB,FR-253E,13000,13000.0,1300.0,Moderate,1641013200000,G,38.85903358161424,-77.3577333896327
FAIRFAX CORNER AVE,FAIRFAX CORNER,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85639816059013,-77.35615235919977
FAIRFAX CORNER AVE,FAIRFAX CORNER,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.8569065878671,-77.35619744630402
MONUMENT WAY,MONUMENT,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85645243848897,-77.35387420500749
MONUMENT HILL WAY,MONUMENT HILL,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85668669204882,-77.35137556195423
MACTAVISH HTS,MACTAVISH,R-VA029SC07436EB,SC-7436E (Fairfax County),6300,6800.0,630.0,Moderate,1641013200000,G,38.85334468010281,-77.34386727629493
MADISON MEADOWS LN,MADISON MEADOWS,R-VA029SC00671NB,SC-671N (Fairfax County),4000,6300.0,400.0,Low,1641013200000,G,38.901212877460004,-77.33406916313591
JULE STAR DR,JULE STAR,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.84441230670774,-77.41266428264322
JULE STAR DR,JULE STAR,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.844614389178716,-77.41171404583024
MONUMENT WAY,MONUMENT,R-VA029SC07969EB,SC-7969E (Fairfax County),8700,12000.0,870.0,Moderate,1641013200000,G,38.85702344402952,-77.35362960560325
WATER FALLS LN,WATER FALLS,R-VA029SC00674NB,SC-674N (Fairfax County),7900,15000.0,790.0,Moderate,1641013200000,G,38.9747338147624,-77.31427857302272
OUTLET,OUTLET,R-VA029SC00609NB,SC-609N (Fairfax County),9000,14000.0,900.0,Moderate,1641013200000,G,38.90136994996076,-77.47723540944946
LAVENDER KEEP CIR,LAVENDER KEEP,R-VA029SC00750NB,SC-750N (Fairfax County),6100,9700.0,610.0,Moderate,1641013200000,G,38.878931045299936,-77.38776102720628
VILLAGE FOUNTAIN PL,VILLAGE FOUNTAIN,R-VA029SC00645EB,SC-645E (Fairfax County),16000,17000.0,1600.0,High,1641013200000,G,38.84929900499175,-77.402703496665
VILLAGE FOUNTAIN PL,VILLAGE FOUNTAIN,R-VA029SC00645EB,SC-645E (Fairfax County),16000,17000.0,1600.0,High,1641013200000,G,38.84988919876986,-77.4028725957875
CALDICOT LN,CALDICOT,R-VA029SC00656SB,SC-656S (Fairfax County),5300,5300.0,530.0,Moderate,1641013200000,G,38.85076523643826,-77.36538707975795
BATTENBURG LN,BATTENBURG,R-VA029SC00656SB,SC-656S (Fairfax County),5300,5300.0,530.0,Moderate,1641013200000,G,38.850134542676514,-77.36491168835398
LEGATO RD,LEGATO,R-VA029SC00656SB,SC-656S (Fairfax County),5300,5300.0,530.0,Moderate,1641013200000,G,38.849897718304,-77.36566887691698
BRIDGEND RUN,BRIDGEND,R-VA029SC00656SB,SC-656S (Fairfax County),5300,5300.0,530.0,Moderate,1641013200000,G,38.849029259824555,-77.36617813532288
LEGATO RD,LEGATO,R-VA029SC00656SB,SC-656S (Fairfax County),5300,5300.0,530.0,Moderate,1641013200000,G,38.8488081617942,-77.3660152950821
TROUSSEAU LN,TROUSSEAU,R-VA029SC00663EB,SC-663E (Fairfax County),2500,2700.0,250.0,Low,1641013200000,G,38.88130619292185,-77.30367222161411
WOOD LILLY LN,WOOD LILLY,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.844389849512844,-77.4111796175037
NORBORNE PL,NORBORNE,R-VA029SC10349EB,SC-10349E (Fairfax County),1200,,120.0,Low,1439265600000,R,38.88310993580052,-77.3022207796217
NORBORNE PL,NORBORNE,R-VA029SC00674NB,SC-674N (Fairfax County),15000,28000.0,1500.0,High,1641013200000,G,38.88232206949225,-77.30118007221591
BUCKS LN,BUCKS,R-VA   SR00193EB,VA-193E,21000,38000.0,2100.0,High,1641013200000,G,38.99872345849832,-77.28615229858742
RIDGEGATE DR,RIDGEGATE,R-VA029SC10350EB,SC-10350E (Fairfax County),17000,29000.0,1700.0,High,1432180800000,R,38.98832341136991,-77.37697766236444
SUGARLAND VALLEY DR,SUGARLAND VALLEY,R-VA   SR00286NB,VA-286N,23000,39000.0,2300.0,High,1641013200000,G,38.989113824385925,-77.36105655522715
HEATHER WAY,HEATHER,R-VA   SR00286NB,VA-286N,23000,39000.0,2300.0,High,1641013200000,G,38.99775901844995,-77.363649415066
RESTON AVE,RESTON,R-VA029SC00828SB,SC-828S (Fairfax County),12000,20000.0,1200.0,Moderate,1641013200000,G,38.987279121627765,-77.34530289288483
SUMMERFIELD DR,SUMMERFIELD,R-VA   SR00228SB,VA-228S,17000,18000.0,1700.0,High,1641013200000,G,38.96990778093366,-77.40650383504034
SPRINGTIDE PL,SPRINGTIDE,R-VA   SR00228SB,VA-228S,17000,18000.0,1700.0,High,1641013200000,G,38.9680200441461,-77.40540677686747
ASHFORD GREEN DR,ASHFORD GREEN,R-VA029SC01579NB,SC-1579N (Fairfax County),1500,,150.0,Low,1309233600000,R,38.85195480007315,-77.36159585638211
ENGLISH MAPLE LN,ENGLISH MAPLE,R-VA029SC01579NB,SC-1579N (Fairfax County),1500,,150.0,Low,1309233600000,R,38.85135902368419,-77.36133222302163
GRENSHAW DR,GRENSHAW,R-VA029SC01579NB,SC-1579N (Fairfax County),1500,,150.0,Low,1309233600000,R,38.85073617937755,-77.36123885810309
LYNFORD LN,LYNFORD,R-VA029SC01579NB,SC-1579N (Fairfax County),1400,,140.0,Low,1309233600000,R,38.850132958121016,-77.3610039861166
ENGLEMEADE DR,ENGLEMEADE,R-VA029SC01579NB,SC-1579N (Fairfax County),1400,,140.0,Low,1309233600000,R,38.849508666001526,-77.36091349662333
OVERBRIDGE LN,OVERBRIDGE,R-VA029SC01579NB,SC-1579N (Fairfax County),1400,,140.0,Low,1309233600000,R,38.85019167696962,-77.36167586789298
WINTERGREEN LN,WINTERGREEN,R-VA   SR00228SB,VA-228S,17000,18000.0,1700.0,High,1641013200000,G,38.96570213937883,-77.40215224748249
CYPRESS TREE PL,CYPRESS TREE,R-VA   SR00228SB,VA-228S,17000,18000.0,1700.0,High,1641013200000,G,38.96432081511608,-77.40116288857283
ELDEN ST,ELDEN,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),24000,38000.0,2400.0,High,1641013200000,G,38.96291708650599,-77.39900133221458
PALMER DR,PALMER,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),10000,11000.0,1000.0,Moderate,1641013200000,G,38.9613389493014,-77.39744197235366
SPRUCE CT,SPRUCE,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),10000,11000.0,1000.0,Moderate,1641013200000,G,38.960648381705184,-77.3964929005801
SUMMERFIELD DR,SUMMERFIELD,R-VA   SR00228SB,VA-228S,17000,18000.0,1700.0,High,1641013200000,G,38.96623944670769,-77.40295991746785
MAGNOLIA CT,MAGNOLIA,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),10000,11000.0,1000.0,Moderate,1641013200000,G,38.960192417218984,-77.3953465804256
CAMPBELL WAY,CAMPBELL,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),10000,11000.0,1000.0,Moderate,1641013200000,G,38.959883677419185,-77.39458037875309
LINDEN CT,LINDEN,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),10000,11000.0,1000.0,Moderate,1641013200000,G,38.95949915580297,-77.39360259444436
CAMPBELL WAY,CAMPBELL,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),11000,11000.0,1100.0,Moderate,1641013200000,G,38.958949489856536,-77.39196071208346
NEW DOMINION PKWY,NEW DOMINION,R-VA   SR00286NB,VA-286N,55000,96000.0,5500.0,Very High,1641013200000,G,38.96091152430773,-77.36678217563785
NEW DOMINION PKWY,NEW DOMINION,R-VA029SC07414NB,SC-7414N (Fairfax County),18000,18000.0,1800.0,High,1641013200000,G,38.96049814138831,-77.36432744672216
NEW DOMINION PKWY,NEW DOMINION,R-VA   SR00286NB,VA-286N,55000,96000.0,5500.0,Very High,1641013200000,G,38.96145541137586,-77.36814034940798
TOWN CENTER DR,TOWN CENTER,R-VA029SC06363EB,SC-6363E (Fairfax County),18000,,1800.0,High,1257742800000,R,38.96068326937376,-77.36547592603395
TOWN CENTER DR,TOWN CENTER,R-VA029SC06363EB,SC-6363E (Fairfax County),18000,,1800.0,High,1257742800000,R,38.9606756171384,-77.365394030506
ELDEN ST,ELDEN,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),27000,29000.0,2700.0,High,1641013200000,G,38.966983891821606,-77.37197907649131
LAUREL WAY,LAUREL,S-VA235NP ELDEN ST,Elden ST (NP - Town of Herndon),27000,29000.0,2700.0,High,1641013200000,G,38.96705370043895,-77.36681104365464
LAUREL WAY,LAUREL,S-VA235NP ELDEN ST,Elden ST (NP - Town of Herndon),27000,29000.0,2700.0,High,1641013200000,G,38.96632340031012,-77.36690168818134
HERNDON PKWY,HERNDON,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),34000,36000.0,3400.0,Very High,1641013200000,G,38.958848636088945,-77.37422277334485
SPRING ST,SPRING,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),34000,36000.0,3400.0,Very High,1641013200000,G,38.9588395400728,-77.37435266394792
GROVE ST,GROVE,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),9700,10000.0,970.0,Moderate,1641013200000,G,38.96485703108328,-77.37195746278766
CLUBHOUSE CT,CLUBHOUSE,R-VA029SC04726EB,SC-4726E (Fairfax County),3200,3400.0,320.0,Low,1641013200000,G,38.96372471464282,-77.34749159823451
NORTH VILLAGE RD,NORTH VILLAGE,R-VA029SC00606EB,SC-606E (Fairfax County),21000,37000.0,2100.0,High,1641013200000,G,38.97011148877488,-77.34365169530355
NORTH SHORE DR,NORTH SHORE,R-VA029SC04726EB,SC-4726E (Fairfax County),8400,14000.0,840.0,Moderate,1641013200000,G,38.97029747800131,-77.34097804195223
JEFFERSON PARK DR,JEFFERSON PARK,R-VA029SC05320WB,SC-5320W (Fairfax County),16000,28000.0,1600.0,High,1641013200000,G,38.94856382486067,-77.42209569664976
EINSTEIN ST,EINSTEIN,R-VA029SC08161NB,SC-8161N (Fairfax County),2100,3500.0,210.0,Low,1641013200000,G,38.9505146498845,-77.41762979939335
SALK ST,SALK,R-VA029SC08161NB,SC-8161N (Fairfax County),2100,3500.0,210.0,Low,1641013200000,G,38.951205801726424,-77.41768618703347
SALK ST,SALK,R-VA029SC08161NB,SC-8161N (Fairfax County),2100,3500.0,210.0,Low,1641013200000,G,38.95141728309413,-77.41769331569967
DULLES TOWN BLVD,DULLES TOWN,R-VA029SC05320EB,SC-5320E (Fairfax County),7100,12000.0,710.0,Moderate,1641013200000,G,38.95760766956157,-77.42323378770723
DULLES TOWN BLVD,DULLES TOWN,R-VA029SC05320EB,SC-5320E (Fairfax County),7100,12000.0,710.0,Moderate,1641013200000,G,38.9573900481967,-77.4227041032952
MISSOURI AVE,MISSOURI,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),11000,11000.0,1100.0,Moderate,1641013200000,G,38.95805197748706,-77.38949250121719
VAN BUREN ST,VAN BUREN,S-VA235PR VAN BUREN ST,Van Buren ST (PR - Town of Herndon),16000,17000.0,1600.0,High,1641013200000,G,38.95749304345056,-77.38807849782116
EXCHANGE PL,EXCHANGE,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),16000,17000.0,1600.0,High,1641013200000,G,38.954736293686345,-77.38001933682554
XXOVER,XXOVER,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),16000,17000.0,1600.0,High,1641013200000,G,38.95748510953483,-77.37576254047707
FAIRBROOK DR,FAIRBROOK,S-VA235NP HERNDON PKWY,Herndon PKWY (NP - Town of Herndon),16000,17000.0,1600.0,High,1641013200000,G,38.95604978489797,-77.37838052226104
MONROE ST,MONROE,S-VA235PR VAN BUREN ST,Van Buren ST (PR - Town of Herndon),15000,15000.0,1500.0,High,1641013200000,G,38.95476950202707,-77.38816311361342
RT286 RAMP TO SPRING ST,RT286 RAMP TO SPRING ST,R-VA   SR00286NB,VA-286N,55000,96000.0,5500.0,Very High,1641013200000,G,38.95850653943043,-77.37017517144943
ORACLE WAY,ORACLE,R-VA029SC00675EB,SC-675E (Fairfax County),22000,24000.0,2200.0,High,1641013200000,G,38.95437683862897,-77.3526282964168
XXOVER,XXOVER,R-VA   SR00007EB,VA-7E,50000,53000.0,5000.0,Very High,1641013200000,G,38.94659566786078,-77.25886311803669
GOLF VIEW CT,GOLF VIEW,R-VA029SC04726EB,SC-4726E (Fairfax County),3200,3400.0,320.0,Low,1641013200000,G,38.95632821963352,-77.34538764220689
NORTH SHORE CT,NORTH SHORE,R-VA029SC04726EB,SC-4726E (Fairfax County),3200,3400.0,320.0,Low,1641013200000,G,38.95591580935643,-77.34276317683911
BROWNS CHAPEL RD,BROWNS CHAPEL,R-VA029SC00606EB,SC-606E (Fairfax County),21000,37000.0,2100.0,High,1641013200000,G,38.97134051530498,-77.34172601690842
HUNTERS WOODS PLZ,HUNTERS WOODS,R-VA029SC04701NB,SC-4701N (Fairfax County),6900,13000.0,690.0,Moderate,1641013200000,G,38.93565809997728,-77.36350454628553
LINCOLN PARK DR,LINCOLN PARK,R-VA029SC08105SB,SC-8105S (Fairfax County),4100,,410.0,Low,1119931200000,R,38.925800341284116,-77.42623289570801
LINCOLN PARK DR,LINCOLN PARK,R-VA029SC08105SB,SC-8105S (Fairfax County),4100,,410.0,Low,1119931200000,R,38.925642096290105,-77.4261590615198
BELL RIDGE CT,BELL RIDGE,R-VA029SC00745EB,SC-745E (Fairfax County),1400,,140.0,Low,1418101200000,R,38.888775466686816,-77.43134061113408
LADY SOMERSET LN,LADY SOMERSET,R-VA029SC00750NB,SC-750N (Fairfax County),6100,9700.0,610.0,Moderate,1641013200000,G,38.879599952035896,-77.38751478187146
GRAYS POINTE CT,GRAYS POINTE,R-VA029SC07470NB,SC-7470N (Fairfax County),1300,,130.0,Low,1432699200000,R,38.87768095715566,-77.39340901248892
FROSTLEAF CT,FROSTLEAF,R-VA029SC00608SB,SC-608S (Fairfax County),23000,42000.0,2300.0,High,1641013200000,G,38.883739863061585,-77.3712786332536
LAKE EDGE WAY,LAKE EDGE,R-VA029SC00665EB,SC-665E (Fairfax County),4900,5200.0,490.0,Low,1641013200000,G,38.882291882771845,-77.33724779048602
LYNNHAVEN PL,LYNNHAVEN,R-VA029SC10349EB,SC-10349E (Fairfax County),1200,,120.0,Low,1439265600000,R,38.883204715859485,-77.30149835558875
LYNNHAVEN PL,LYNNHAVEN,R-VA029SC10349EB,SC-10349E (Fairfax County),1200,,120.0,Low,1439265600000,R,38.8834078083247,-77.30271897099358
LYNNHAVEN PL,LYNNHAVEN,R-VA029SC10349EB,SC-10349E (Fairfax County),1200,,120.0,Low,1439265600000,R,38.88345368019843,-77.30190995120535
LYNNHAVEN PL,LYNNHAVEN,R-VA029SC10349EB,SC-10349E (Fairfax County),15000,28000.0,1500.0,High,1439265600000,R,38.8834869978331,-77.30134211338145
NEWBROOK DR,NEWBROOK,R-VA029SC08410EB,SC-8410E (Fairfax County),18000,31000.0,1800.0,High,1236142800000,R,38.875600481616594,-77.44231149261941
NEWBROOK DR,NEWBROOK,R-VA029SC08410EB,SC-8410E (Fairfax County),18000,31000.0,1800.0,High,1236142800000,R,38.87553889024646,-77.44239346707805
STARRY NIGHT LN,STARRY NIGHT,R-VA029SC00620EB,SC-620E (Fairfax County),8800,9200.0,880.0,Moderate,1641013200000,G,38.869805309932914,-77.46880663175688
RED ADMIRAL PL,RED ADMIRAL,R-VA029SC07700EB,SC-7700E (Fairfax County),22000,32000.0,2200.0,High,1641013200000,G,38.861617002058296,-77.39994804731816
QUIET CREEK DR,QUIET CREEK,R-VA029SC07961EB,SC-7961E (Fairfax County),1300,,130.0,Low,1432699200000,R,38.87049722692021,-77.37527967689464
QUIET CROSSING CT,QUIET CROSSING,R-VA029SC07961EB,SC-7961E (Fairfax County),1300,,130.0,Low,1432699200000,R,38.87034377854585,-77.3757498671048
HIDDEN GLADE DR,HIDDEN GLADE,R-VA   FR01032EB,FR-1032E,59000,64000.0,5900.0,Very High,1257742800000,R,38.87322083581382,-77.37829905328965
HIDDEN GLADE DR,HIDDEN GLADE,R-VA   FR01032EB,FR-1032E,59000,64000.0,5900.0,Very High,1257742800000,R,38.87281181129711,-77.37725123467263
ARISTOTLE CT,ARISTOTLE,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.862678753811885,-77.33665200455782
SADDLE DOWNS PL,SADDLE DOWNS,R-VA029SC00609NB,SC-609N (Fairfax County),8200,13000.0,820.0,Moderate,1641013200000,G,38.8530186148339,-77.48960712391614
RIDINGS MANOR PL,RIDINGS MANOR,R-VA029SC00609NB,SC-609N (Fairfax County),8200,13000.0,820.0,Moderate,1641013200000,G,38.85407034410074,-77.48842917465805
CENTREVILLE FARMS RD,CENTREVILLE FARMS,R-VA029SC00645EB,SC-645E (Fairfax County),16000,17000.0,1600.0,High,1641013200000,G,38.84769255137206,-77.40203133562034
VILLAGE SQUARE DR,VILLAGE SQUARE,R-VA029SC00645EB,SC-645E (Fairfax County),16000,17000.0,1600.0,High,1641013200000,G,38.85026676792052,-77.40244775139058
LEGATO RD,LEGATO,R-VA029SC00656SB,SC-656S (Fairfax County),6900,7300.0,690.0,Moderate,1641013200000,G,38.85173077100231,-77.36483796497004
LEGATO RD,LEGATO,R-VA029SC00656SB,SC-656S (Fairfax County),8400,8400.0,840.0,Moderate,1641013200000,G,38.853995639871236,-77.36485944324644
ARNIEL PL,ARNIEL,R-VA   US00029NB,US-29N,30000,32000.0,3000.0,Very High,1641013200000,A,38.84825130868671,-77.35054739351698
KERRIGAN LN,KERRIGAN,R-VA029SC07436EB,SC-7436E (Fairfax County),6300,6800.0,630.0,Moderate,1641013200000,G,38.85308016930897,-77.34244167616559
ILLUMINATI WAY,ILLUMINATI,R-VA029SC00969EB,SC-969E (Fairfax County),1500,,150.0,Low,1471406400000,R,38.83682091377406,-77.45230824286435
RT29 NB RAMP TO RT28 NB,RT29 NB RAMP TO RT28 NB,R-VA   US00029NB,US-29N,74000,79000.0,7400.0,Very High,1641013200000,G,38.837905646752866,-77.43076094770332
JOEL BEACH LN,JOEL BEACH,R-VA029SC01166NB,SC-1166N (Fairfax County),1100,,110.0,Low,1236229200000,R,38.84323468619398,-77.42651282454007
ORMOND STONE CIR,ORMOND STONE,R-VA029SC07773EB,SC-7773E (Fairfax County),2800,4800.0,280.0,Low,1641013200000,G,38.84361012998358,-77.41628020324838
CENTREVILLE FARMS RD,CENTREVILLE FARMS,R-VA029SC08285SB,SC-8285S (Fairfax County),31000,33000.0,3100.0,Very High,1641013200000,G,38.8411405234385,-77.41178391399332
MIST FLOWER DR,MIST FLOWER,R-VA029SC08285SB,SC-8285S (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.842590140269266,-77.41246091425309
LAMIUM LN,LAMIUM,R-VA029SC08285SB,SC-8285S (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.842233299016236,-77.41316334571077
LAMIUM LN,LAMIUM,R-VA029SC07773EB,SC-7773E (Fairfax County),2800,4800.0,280.0,Low,1641013200000,G,38.84284700937833,-77.41559153255461
ANN GRIGSBY CIR,ANN GRIGSBY,R-VA029SC07773EB,SC-7773E (Fairfax County),1700,2800.0,170.0,Low,1641013200000,G,38.84430698977013,-77.41483026181032
JOSEPH JOHNSTON LN,JOSEPH JOHNSTON,R-VA029SC07773EB,SC-7773E (Fairfax County),2800,4800.0,280.0,Low,1641013200000,G,38.844515744366696,-77.41569575293525
JOSEPH JOHNSTON LN,JOSEPH JOHNSTON,R-VA029SC07773EB,SC-7773E (Fairfax County),2800,4800.0,280.0,Low,1641013200000,G,38.84364274307035,-77.41564293797865
CENTREVILLE FARMS RD,CENTREVILLE FARMS,R-VA029SC08285SB,SC-8285S (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.843250263895584,-77.41306027466446
CENTREVILLE FARMS RD,CENTREVILLE FARMS,R-VA029SC08285SB,SC-8285S (Fairfax County),7500,13000.0,750.0,Moderate,1641013200000,G,38.84485401002399,-77.41343312860629
DEROSNEC DR,DEROSNEC,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.86658309700546,-77.33464362235941
THISTLE GLEN LN,THISTLE GLEN,R-VA029SC01075NB,SC-1075N (Fairfax County),1500,,150.0,Low,1242619200000,R,38.9914448609182,-77.29957807366657
FREAR PL,FREAR,R-VA029SC05050EB,SC-5050E (Fairfax County),4200,7100.0,420.0,Low,1641013200000,G,38.963647797322864,-77.40770781464624
OXFORD FOREST DR,OXFORD FOREST,R-VA029SC00608SB,SC-608S (Fairfax County),23000,42000.0,2300.0,High,1641013200000,G,38.905473955210894,-77.38233418758249
FAIRWAY CT,FAIRWAY,R-VA029SC04727EB,SC-4727E (Fairfax County),1500,,150.0,Low,1534305600000,R,38.962865680487496,-77.3378516152548
TERRA RIDGE DR,TERRA RIDGE,R-VA029SC00673EB,SC-673E (Fairfax County),11000,19000.0,1100.0,Moderate,1641013200000,G,38.90566641415838,-77.28002777689733
BRONZE STONE PL,BRONZE STONE,R-VA029SC00665EB,SC-665E (Fairfax County),6000,6000.0,600.0,Moderate,1641013200000,G,38.95253754508103,-77.42315649636946
COPPER KETTLE PL,COPPER KETTLE,R-VA029SC00665EB,SC-665E (Fairfax County),6000,6000.0,600.0,Moderate,1641013200000,G,38.95231135227101,-77.4228367849949
BELLE COTE LN,BELLE COTE,R-VA029SC00669EB,SC-669E (Fairfax County),1000,1500.0,100.0,Low,1641013200000,G,38.89788645688543,-77.39761260898067
OXFORD FOREST DR,OXFORD FOREST,R-VA029SC00608NB,SC-608N (Fairfax County),23000,42000.0,2300.0,High,1641013200000,G,38.905868846084644,-77.38202690696022
GOLDEN MEADOW CT,GOLDEN MEADOW,R-VA029SC00669EB,SC-669E (Fairfax County),1000,1500.0,100.0,Low,1641013200000,G,38.896323122523945,-77.39565116929802
DULLES CORNER PARK,DULLES CORNER,R-VA029SC05320EB,SC-5320E (Fairfax County),7100,12000.0,710.0,Moderate,1641013200000,G,38.95777173102822,-77.4236218842371
BENNETT OAKS PL,BENNETT OAKS,R-VA029SC00669EB,SC-669E (Fairfax County),1300,2400.0,130.0,Low,1641013200000,G,38.89859157007344,-77.37361684294798
